IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,39650,34.120.195.249,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,o4505784913690624.ingest.sentry.io,1988,1701,9,9,2025-08-23T17:54:14.648+02:00,2025-08-23T17:54:14.789+02:00
6,10.215.173.1,39656,34.120.195.249,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Zamknij,o4505784913690624.ingest.sentry.io,3959,1741,9,9,2025-08-23T17:54:15.252+02:00,2025-08-23T17:54:15.396+02:00
17,10.215.173.1,31090,10.215.173.2,53,10333,Posnania,com.yourbuildingapp.app.posnania,DNS,Zamknij,api.yourb.app,59,91,1,1,2025-08-23T17:54:43.270+02:00,2025-08-23T17:54:43.431+02:00
6,10.215.173.1,58056,104.21.42.187,443,10333,Posnania,com.yourbuildingapp.app.posnania,HTTPS,Błąd,api.yourb.app,10428,31351,85,85,2025-08-23T17:54:43.436+02:00,2025-08-23T17:56:56.643+02:00
17,10.215.173.1,34065,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,gew4-dealer.spotify.com,69,115,1,1,2025-08-23T17:54:52.156+02:00,2025-08-23T17:54:52.171+02:00
17,10.215.173.1,47179,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,spclient.wg.spotify.com,69,118,1,1,2025-08-23T17:54:52.163+02:00,2025-08-23T17:54:52.202+02:00
17,10.215.173.1,12180,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,ap-gew4.spotify.com,65,81,1,1,2025-08-23T17:54:52.168+02:00,2025-08-23T17:54:52.203+02:00
6,10.215.173.1,55978,35.186.224.44,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,gew4-dealer.spotify.com,1752,6847,10,9,2025-08-23T17:54:52.178+02:00,2025-08-23T17:54:55.466+02:00
6,10.215.173.1,56316,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,11498,1659,17,11,2025-08-23T17:54:52.211+02:00,2025-08-23T17:54:55.466+02:00
6,10.215.173.1,54540,34.158.1.133,443,10304,Spotify,com.spotify.music,TCP,Zamknij,ap-gew4.spotify.com,1198,8829,11,10,2025-08-23T17:54:52.217+02:00,2025-08-23T17:54:55.465+02:00
