IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,41026,185.60.217.175,5222,10542,Instagram,com.instagram.android,TCP,Nieosiągalny,z-p42-chat-e2ee-ig.facebook.com,60,40,1,1,2025-08-18T17:58:57.000+02:00,2025-08-18T17:58:57.003+02:00
6,10.215.173.1,39076,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TCP,Nieosiągalny,mtalk.google.com,60,40,1,1,2025-08-18T17:58:57.287+02:00,2025-08-18T17:58:57.292+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:58.180+02:00,2025-08-18T17:58:58.180+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:58.244+02:00,2025-08-18T17:58:58.244+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:58.248+02:00,2025-08-18T17:58:58.248+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:58.379+02:00,2025-08-18T17:58:58.379+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:58.384+02:00,2025-08-18T17:58:58.384+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:58.649+02:00,2025-08-18T17:58:58.649+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:58.654+02:00,2025-08-18T17:58:58.654+02:00
17,10.215.173.1,42612,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Nieosiągalny,edge-mqtt.facebook.com,0,0,0,0,2025-08-18T17:58:58.948+02:00,2025-08-18T17:58:58.948+02:00
6,10.215.173.1,41026,185.60.217.175,5222,10542,Instagram,com.instagram.android,TCP,Nieosiągalny,z-p42-chat-e2ee-ig.facebook.com,60,40,1,1,2025-08-18T17:58:59.016+02:00,2025-08-18T17:58:59.019+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,graph.instagram.com,0,0,0,0,2025-08-18T17:58:59.188+02:00,2025-08-18T17:58:59.188+02:00
